open,high,low,volume,log(volume)
2312.3,2312.72,2312.3,1.02160633,0.021376221879878105
2315.99,2316.71,2312.23,29.81545814,3.395026988547906
2314.1,2314.1,2312.82,5.39820979,1.686067378234832
2312.95,2312.95,2312.92,0.67702229,-0.3900510819442156
2312.23,2312.23,2310.73,2.91321667,1.0692578555751016
2312.4,2313.22,2312.4,2.60255132,0.9564922408130404
2313.67,2313.67,2312.73,14.18825492,2.652414504046272
2313.94,2313.94,2312.87,1.32473191,0.28121010689081793
2313.97,2315.15,2313.97,0.41045362,-0.8904923406384974
2317.31,2325.7,2317.09,42.52438904,3.750077771100529
2323.04,2328.52,2322.4,5.37135579,1.6810803515146946
2329.91,2331.62,2325.7,12.32912639,2.511964462273565
2326.34,2330.45,2326.34,3.76372,1.3254078300082106
2329.88,2330.67,2327.64,11.10082489,2.407019419971524
2327.89,2327.9,2323.73,9.14225689,2.2129072794928786
2324.73,2326.1,2324.73,0.68927562,-0.3721140589311822
2327.37,2327.37,2327.37,0.010755,-4.532384516262444
2326.89,2327.46,2326.74,6.28461304,1.8381042713321354
2329.0,2329.0,2326.62,0.67572082,-0.3919752764079529
2327.62,2327.91,2326.42,3.70728794,1.3103005958216185
2328.32,2328.32,2326.68,27.38857273,3.3101258727533285
2326.61,2326.61,2326.61,0.02087034,-3.869426266698466
2324.84,2325.08,2324.84,0.64509211,-0.4383621661806491
2323.36,2323.58,2321.7,0.89781405,-0.10779230339164059
2323.95,2324.9,2323.95,0.8926951,-0.11351018977794317
2326.8,2329.8,2326.79,2.75744975,1.014306248951374
2329.91,2332.32,2328.86,6.16721954,1.8192480945325231
2330.23,2332.93,2330.23,0.58949575,-0.5284877685302759
2333.56,2333.56,2330.87,1.2456828,0.21968381331679315
2333.5,2339.5,2333.5,9.5606421,2.257654890079791
2338.73,2340.68,2338.44,8.73281804,2.1670881173047576
2335.93,2335.93,2335.07,2.03229361,0.7091650123883477
2339.19,2343.54,2339.01,19.35830332,2.9631214395782073
2343.29,2347.27,2340.85,15.88866405,2.765605902124265
2346.36,2348.23,2342.28,10.05166343,2.307738136231804
2341.93,2342.97,2337.31,3.12387243,1.1390733956762995
2337.77,2339.56,2335.59,5.20348248,1.6493281091255656
2339.59,2342.87,2339.59,0.46096207,-0.7744395170277475
2343.88,2343.91,2341.39,1.61293528,0.4780556743455225
2338.66,2338.66,2338.66,0.05976021,-2.8174152241075245
2340.84,2342.33,2340.3,8.25132381,2.1103736492921508
2342.69,2343.43,2341.87,3.09708119,1.1304601163400463
2341.94,2341.94,2340.9,0.23819915,-1.434648190497195
2340.98,2340.98,2339.49,1.40056796,0.3368778400672986
2341.59,2342.77,2339.57,31.73806818,3.4575168493518413
2343.97,2346.35,2342.75,6.06291288,1.8021903578621608
2341.43,2341.43,2341.3,0.94,-0.06187540371808753
2341.17,2341.17,2341.17,1.616,0.4799539600989037
2340.44,2340.44,2336.9,4.07577763,1.4050615579350558
2337.73,2337.73,2337.05,8.18393049,2.102172535211497
2337.54,2337.62,2337.47,0.62384879,-0.47184726369579416
2335.67,2335.67,2335.5,0.77481998,-0.25512456048183463
2334.34,2334.34,2333.8,9.37351251,2.2378878936677564
2334.23,2334.23,2332.93,7.87818622,2.064097702248524
2334.28,2334.28,2334.28,0.01495366,-4.2027991930544895
2338.37,2338.41,2338.37,0.59778537,-0.5145235024996857
2334.5,2334.9,2334.5,2.55140465,0.9366440506491994
2334.11,2334.11,2332.48,1.02553454,0.025213979094257218
2331.97,2331.97,2327.0,5.08661481,1.6266125425097613
2325.33,2327.6,2324.14,7.47622209,2.0117275962146706
2329.5,2329.91,2328.39,4.38807286,1.4788901466507025
2331.84,2331.84,2331.65,0.60006197,-0.5107223457660137
2333.5,2333.5,2330.37,28.44080545,3.3478249255607304
